area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_log
6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,15.432916640047551
4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,15.431526785758496
8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,15.425947970731459
4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,15.418930398072812
7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,15.418930398072812
2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,15.41610952173117
5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.411863230849718
4200,3,1,2,yes,no,no,no,no,1,no,furnished,15.40617331507204
4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,15.404745763080856
4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,15.404745763080856
4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,15.404745763080856
5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,15.404745763080856
4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,15.404745763080856
6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,15.404745763080856
5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,15.404745763080856
3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,15.404745763080856
2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,15.404745763080856
6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,15.404745763080856
4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,15.404745763080856
12900,3,1,1,yes,no,no,no,no,2,no,furnished,15.404745763080856
3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,15.40331617027126
4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,15.40331617027126
4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,15.397577273602243
4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,15.390357025628756
6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,15.390357025628756
6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,15.390357025628756
4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,15.390357025628756
7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,15.383084266299676
8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,15.383084266299676
3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,15.377227734186963
9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,15.375758226207603
6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,15.375758226207603
10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,15.375758226207603
6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,15.374286555596147
5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,15.360943140422462
6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,15.360943140422462
3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,15.360943140422462
9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,15.360943140422462
5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,15.360943140422462
4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,15.360943140422462
3745,3,1,2,yes,no,yes,no,no,0,no,furnished,15.353452468693305
4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,15.345905263057922
3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,15.345905263057922
5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,15.345905263057922
2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,15.345905263057922
5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,15.345905263057922
4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,15.344388962539957
4000,3,1,2,yes,no,no,no,no,1,no,furnished,15.338300663672703
3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,15.338300663672703
3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,15.330637790927133
3640,3,1,2,yes,no,no,no,yes,0,no,furnished,15.330637790927133
2550,3,1,2,yes,no,yes,no,no,0,no,furnished,15.330637790927133
5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,15.330637790927133
5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,15.330637790927133
3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,15.330637790927133
8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,15.330637790927133
4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,15.32909814474154
4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,15.32909814474154
3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,15.322915744833223
3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,15.322915744833223
9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,15.322915744833223
3520,2,1,2,yes,no,no,no,no,0,yes,furnished,15.322915744833223
4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,15.315133604391168
5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,15.315133604391168
4000,3,1,2,yes,no,no,no,no,2,no,furnished,15.315133604391168
8250,3,1,1,yes,no,no,no,no,0,no,furnished,15.315133604391168
4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.315133604391168
6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,15.313569882414985
3162,3,1,2,yes,no,no,no,yes,1,no,furnished,15.313569882414985
3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.313569882414985
3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,15.307290426930143
3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,15.299385247423029
4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,15.299385247423029
2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,15.297796684737891
4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,15.297796684737891
4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.297796684737891
4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.29301579913755
3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,15.291417077773852
4500,3,2,3,yes,no,no,yes,no,1,no,furnished,15.283384906076588
1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,15.283384906076588
4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,15.283384906076588
3500,4,1,2,yes,no,no,no,no,2,no,furnished,15.283384906076588
6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,15.283384906076588
4032,2,1,1,yes,no,yes,no,no,0,no,furnished,15.278534451942837
4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,15.275287695843968
10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,15.275287695843968
3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,15.268762387209046
6360,2,1,1,yes,no,no,no,no,0,no,furnished,15.267124385204808
6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,15.267124385204808
4500,2,1,1,yes,no,no,no,yes,2,no,furnished,15.267124385204808
2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,15.267124385204808
4360,4,1,2,yes,no,no,no,no,0,no,furnished,15.267124385204808
7770,2,1,1,yes,no,no,no,no,1,no,furnished,15.267124385204808
6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,15.258893886068291
2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,15.258893886068291
5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,15.250595083253597
5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,15.250595083253597
5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,15.250595083253597
2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,15.250595083253597
2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
4410,2,1,1,no,no,no,no,no,1,no,unfurnished,15.250595083253597
4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,15.250595083253597
3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,15.250595083253597
5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,15.250595083253597
7000,3,1,1,yes,no,no,no,no,3,no,furnished,15.250595083253597
4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,15.250595083253597
3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,15.250595083253597
2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,15.250595083253597
4500,3,1,1,yes,no,yes,no,no,0,no,furnished,15.250595083253597
8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,15.2489270261529
3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.2489270261529
4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.24222683358308
4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,15.24222683358308
4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,15.24222683358308
4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.233787964937216
5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,15.233787964937216
6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,15.232091611689038
3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,15.226131611075223
3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,15.225277275269306
4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,15.225277275269306
5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished,15.225277275269306
5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,15.216693531577915
4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,15.216693531577915
4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,15.216693531577915
3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished,15.216693531577915
4320,3,1,2,yes,no,no,no,no,2,yes,furnished,15.216693531577915
3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished,15.208035468834801
3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,15.208035468834801
5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished,15.208035468834801
4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,15.203678163465845
3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.203678163465845
4100,4,1,1,no,no,yes,no,no,0,no,unfurnished,15.199301788866046
6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished,15.199301788866046
4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished,15.199301788866046
3960,3,1,2,yes,no,no,no,no,0,no,furnished,15.199301788866046
4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,15.199301788866046
7260,3,2,1,yes,yes,yes,no,no,3,no,furnished,15.181602211766645
5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,15.181602211766645
3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.181602211766645
3290,2,1,1,yes,no,no,yes,no,1,no,furnished,15.181602211766645
3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,15.181602211766645
8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,15.181602211766645
2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished,15.181602211766645
3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,15.172633541783885
3180,4,2,2,yes,no,no,no,no,0,no,furnished,15.172633541783885
5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,15.163583706263967
7152,3,1,2,yes,no,no,no,yes,0,no,furnished,15.163583706263967
4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,15.163583706263967
2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,15.163583706263967
3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,15.159940714985465
3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,15.154451222700695
4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.14523456759577
3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,15.14523456759577
3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.14523456759577
